,Average_salary,Title,Seniority,Rating,Hourly,Employer_provided,Company_age,Industry,Sector,Type of ownership,Size,State
47,130.0,data scientist,senior,4.7,0,,-1,Research & Development,Business Services,Company - Private,1 to 50 employees,NY
48,130.0,analyst,other,3.6,0,,26,Financial Analytics & Research,Finance,Company - Private,501 to 1000 employees,NY
49,130.0,data scientist,other,3.5,0,,13,Education Training Services,Education,Company - Private,51 to 200 employees,NY
50,130.0,analyst,other,3.9,0,,10,Investment Banking & Asset Management,Finance,Company - Private,1001 to 5000 employees,NY
51,130.0,data scientist,other,3.9,0,,225,Investment Banking & Asset Management,Finance,Company - Public,10000+ employees,NY
52,130.0,data scientist,other,3.2,0,,18,Internet,Information Technology,Company - Private,501 to 1000 employees,NY
53,130.0,data scientist,other,-1.0,0,,9,Enterprise Software & Network Solutions,Information Technology,Company - Private,1 to 50 employees,NY
54,130.0,data scientist,senior,3.3,0,,171,Insurance Carriers,Insurance,Company - Public,10000+ employees,NY
55,130.0,data scientist,other,-1.0,0,,-1,-1,-1,-1,-1,NY
56,130.0,data scientist,other,4.2,0,,89,Consulting,Business Services,Company - Private,1001 to 5000 employees,NY
57,130.0,data scientist,other,3.6,0,,29,Internet,Information Technology,Company - Public,10000+ employees,NY
58,130.0,data scientist,other,3.9,0,,30,Internet,Information Technology,Company - Public,10000+ employees,NY
59,130.0,data scientist,other,3.9,0,,30,Internet,Information Technology,Company - Public,10000+ employees,NY
60,133.0,data scientist,other,3.8,0,,18,Internet,Information Technology,Company - Public,1001 to 5000 employees,NY
61,133.0,data scientist,other,-1.0,0,,-1,-1,-1,-1,-1,NY
62,133.0,data scientist,other,5.0,0,,9,Internet,Information Technology,Company - Private,1 to 50 employees,NY
63,133.0,data scientist,other,-1.0,0,,-1,-1,-1,-1,-1,NY
64,133.0,data scientist,other,3.4,0,,16,Advertising & Marketing,Business Services,Company - Private,201 to 500 employees,NY
65,133.0,data scientist,other,3.9,0,,225,Investment Banking & Asset Management,Finance,Company - Public,10000+ employees,NJ
66,133.0,data scientist,other,4.4,0,,36,Investment Banking & Asset Management,Finance,Company - Private,1001 to 5000 employees,NY
67,133.0,data scientist,other,3.0,0,,20,Advertising & Marketing,Business Services,Company - Private,201 to 500 employees,NY
68,133.0,manager,senior,4.0,0,,9,Lending,Finance,Company - Private,51 to 200 employees,NY
69,133.0,data scientist,other,3.9,0,,30,Internet,Information Technology,Company - Public,10000+ employees,NY
70,133.0,data scientist,other,3.6,0,,31,Social Assistance,Non-Profit,Nonprofit Organization,51 to 200 employees,NY
71,133.0,data scientist,other,3.9,0,,14,IT Services,Information Technology,Company - Private,201 to 500 employees,NY
72,133.0,data scientist,other,2.8,0,,26,Advertising & Marketing,Business Services,Company - Private,1001 to 5000 employees,NY
73,133.0,data scientist,other,4.1,0,,-1,-1,-1,Company - Private,1 to 50 employees,NY
74,99.0,data engineer,other,4.4,0,,14,Internet,Information Technology,Company - Private,201 to 500 employees,NY
75,99.0,data scientist,other,3.3,0,,107,Publishing,Media,Company - Private,201 to 500 employees,NJ
76,99.0,data scientist,other,2.9,0,,-1,Brokerage Services,Finance,Company - Public,1001 to 5000 employees,NY
77,99.0,data scientist,other,4.0,0,,101,Motion Picture Production & Distribution,Media,Company - Public,10000+ employees,NY
78,99.0,data scientist,senior,4.4,0,,26,Internet,Information Technology,Company - Public,10000+ employees,NY
79,99.0,data scientist,other,3.8,0,,77,Consulting,Business Services,Company - Private,1001 to 5000 employees,NY
80,99.0,data scientist,other,3.8,0,,77,Federal Agencies,Government,Government,-1,NY
81,99.0,data scientist,senior,2.7,0,,39,Health Care Services & Hospitals,Health Care,Nonprofit Organization,1001 to 5000 employees,NY
82,99.0,data scientist,other,-1.0,0,,-1,-1,-1,-1,-1,NY
83,99.0,data scientist,other,4.3,0,,25,Enterprise Software & Network Solutions,Information Technology,Company - Public,1001 to 5000 employees,NY
84,99.0,data scientist,other,4.5,0,,20,Internet,Information Technology,Company - Public,10000+ employees,NY
85,99.0,data scientist,other,-1.0,0,,-1,Computer Hardware & Software,Information Technology,Company - Private,1 to 50 employees,NY
86,99.0,data scientist,other,3.9,0,,10,Investment Banking & Asset Management,Finance,Company - Private,1001 to 5000 employees,NY
87,99.0,data scientist,other,3.3,0,,29,Internet,Information Technology,Company - Public,1001 to 5000 employees,NY
88,99.0,data scientist,other,-1.0,0,,-1,Consulting,Business Services,Company - Private,1 to 50 employees,NY
89,99.0,data scientist,other,-1.0,0,,-1,-1,-1,-1,-1,NY
90,99.0,other,other,3.8,0,,43,Computer Hardware & Software,Information Technology,Company - Private,10000+ employees,NY
91,99.0,data scientist,other,3.6,0,,84,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",Company - Private,10000+ employees,NY
92,99.0,data scientist,other,3.3,0,,29,Staffing & Outsourcing,Business Services,Company - Private,201 to 500 employees,NY
93,99.0,analyst,other,4.1,0,,183,Health Care Services & Hospitals,Health Care,Hospital,10000+ employees,NY
94,99.0,data scientist,other,2.8,0,,14,IT Services,Information Technology,Self-employed,1 to 50 employees,NY
95,99.0,data scientist,other,-1.0,0,,-1,-1,-1,-1,-1,NY
96,99.0,data scientist,other,3.4,0,,7,Other Retail Stores,Retail,Company - Public,10000+ employees,NY
97,99.0,data scientist,other,3.4,0,,7,Other Retail Stores,Retail,Company - Public,10000+ employees,NY
98,99.0,data scientist,other,2.9,0,,13,Consulting,Business Services,Company - Private,51 to 200 employees,NY
99,99.0,machine learning engineer,other,4.8,0,,24,Investment Banking & Asset Management,Finance,Company - Private,501 to 1000 employees,NY
100,99.0,data scientist,other,3.9,0,,10,Investment Banking & Asset Management,Finance,Company - Private,1001 to 5000 employees,NY
101,99.0,data scientist,senior,3.8,0,,18,Internet,Information Technology,Company - Public,1001 to 5000 employees,NY
102,99.0,data scientist,other,5.0,0,,10,Staffing & Outsourcing,Business Services,Company - Private,1 to 50 employees,NY
103,99.0,data scientist,other,4.2,0,,-1,Consulting,Business Services,Company - Private,1 to 50 employees,NY
104,111.5,data engineer,other,4.7,0,,19,Internet,Information Technology,Company - Private,51 to 200 employees,NY
105,111.5,data scientist,other,-1.0,0,,-1,-1,-1,-1,-1,NY
106,111.5,data scientist,other,2.8,0,,-1,Social Assistance,Non-Profit,Company - Private,1 to 50 employees,NY
107,111.5,data scientist,other,4.2,0,,21,Staffing & Outsourcing,Business Services,Company - Private,51 to 200 employees,NY
108,111.5,analyst,other,4.0,0,,128,Venture Capital & Private Equity,Finance,Company - Public,5001 to 10000 employees,NY
109,111.5,data scientist,other,4.9,0,,15,Building & Personnel Services,Business Services,Company - Private,1 to 50 employees,NY
110,111.5,data scientist,other,4.0,0,,17,Staffing & Outsourcing,Business Services,Company - Private,1 to 50 employees,NY
111,111.5,data scientist,other,3.4,0,,126,Advertising & Marketing,Business Services,Company - Private,201 to 500 employees,NY
112,111.5,data scientist,other,2.7,0,,56,Advertising & Marketing,Business Services,Company - Public,1001 to 5000 employees,NY
113,111.5,data scientist,other,3.5,0,,162,Federal Agencies,Government,Government,10000+ employees,NY
114,111.5,data scientist,other,3.4,0,,90,Food & Beverage Stores,Retail,Company - Public,501 to 1000 employees,NY
115,111.5,data scientist,other,3.3,0,,32,Computer Hardware & Software,Information Technology,Company - Public,10000+ employees,NY
116,111.5,data scientist,senior,2.5,0,,15,Internet,Information Technology,Company - Private,201 to 500 employees,NY
117,111.5,data scientist,other,-1.0,0,,-1,-1,-1,-1,-1,NY
118,111.5,other,other,4.4,0,,12,Enterprise Software & Network Solutions,Information Technology,Company - Private,201 to 500 employees,NY
119,111.5,data scientist,other,4.4,0,,23,Investment Banking & Asset Management,Finance,Company - Private,1001 to 5000 employees,NY
120,111.5,data scientist,senior,4.1,0,,26,Video Games,Media,Subsidiary or Business Segment,1001 to 5000 employees,NY
121,111.5,data scientist,other,4.8,0,,13,IT Services,Information Technology,Company - Private,1 to 50 employees,NY
122,111.5,data scientist,other,3.6,0,,8,Health Care Services & Hospitals,Health Care,Company - Private,1 to 50 employees,NY
123,111.5,data scientist,senior,3.8,0,,20,Internet,Information Technology,Company - Public,1001 to 5000 employees,NY
124,111.5,data scientist,other,5.0,0,,-1,-1,-1,Company - Public,-1,NY
125,111.5,data scientist,other,3.9,0,,30,Internet,Information Technology,Company - Public,10000+ employees,NY
126,111.5,data scientist,senior,4.5,0,,10,Computer Hardware & Software,Information Technology,Company - Private,1 to 50 employees,NY
127,111.5,analyst,other,4.4,0,,36,Investment Banking & Asset Management,Finance,Company - Private,1001 to 5000 employees,NY
128,111.5,data scientist,other,1.0,0,,-1,IT Services,Information Technology,Company - Private,1 to 50 employees,NY
129,111.5,analyst,other,-1.0,0,,-1,-1,-1,-1,-1,NY
130,111.5,data scientist,other,4.0,0,,-1,Accounting,Accounting & Legal,Company - Private,1 to 50 employees,NY
131,111.5,data scientist,other,-1.0,0,,-1,-1,-1,-1,-1,NY
132,111.5,data scientist,other,3.6,0,,17,Consumer Product Rental,Consumer Services,Company - Private,501 to 1000 employees,NY
133,111.5,data scientist,other,3.7,0,,29,Motion Picture Production & Distribution,Media,Subsidiary or Business Segment,1001 to 5000 employees,NJ
134,169.5,data scientist,other,3.4,0,,-1,-1,-1,Company - Private,-1,NY
135,169.5,data engineer,other,4.7,0,,7,Internet,Information Technology,Company - Private,1 to 50 employees,NY
136,169.5,data scientist,senior,3.8,0,,18,Internet,Information Technology,Company - Public,1001 to 5000 employees,NY
137,169.5,data scientist,other,4.9,0,,10,Education Training Services,Education,Company - Private,1 to 50 employees,NY
138,169.5,data scientist,other,4.2,0,,22,Computer Hardware & Software,Information Technology,Company - Private,1 to 50 employees,NY
139,169.5,data scientist,other,3.4,0,,30,IT Services,Information Technology,Company - Private,1001 to 5000 employees,NJ
140,169.5,data scientist,senior,3.9,0,,22,IT Services,Information Technology,Company - Public,1001 to 5000 employees,NY
141,169.5,data scientist,senior,4.4,0,,40,Consulting,Business Services,Subsidiary or Business Segment,1001 to 5000 employees,NY
142,169.5,data scientist,other,-1.0,0,,-1,-1,-1,Company - Private,1 to 50 employees,NY
143,169.5,other,other,3.9,0,,30,Internet,Information Technology,Company - Public,10000+ employees,NY
144,169.5,researcher,other,-1.0,0,,17,IT Services,Information Technology,Company - Private,1 to 50 employees,NY
145,169.5,data scientist,other,4.8,0,,14,IT Services,Information Technology,Company - Private,201 to 500 employees,NJ
146,169.5,analyst,other,5.0,0,,8,-1,-1,Company - Private,51 to 200 employees,NY
147,169.5,data scientist,other,4.0,0,,-1,Food & Beverage Manufacturing,Manufacturing,Company - Private,1 to 50 employees,NY
148,169.5,data scientist,other,5.0,0,,37,Staffing & Outsourcing,Business Services,Company - Private,1 to 50 employees,NY
149,169.5,data scientist,other,3.9,0,,225,Investment Banking & Asset Management,Finance,Company - Public,10000+ employees,NY
150,169.5,data scientist,other,3.8,0,,58,Research & Development,Business Services,Company - Private,1001 to 5000 employees,NY
151,169.5,data scientist,other,-1.0,0,,-1,-1,-1,-1,-1,NY
152,169.5,data scientist,senior,3.3,0,,89,-1,-1,Company - Public,10000+ employees,NY
153,169.5,data scientist,other,2.8,0,,48,Wholesale,Business Services,Company - Public,1001 to 5000 employees,NY
154,169.5,data scientist,senior,4.0,0,,12,Enterprise Software & Network Solutions,Information Technology,Company - Private,501 to 1000 employees,NY
155,169.5,data scientist,senior,-1.0,0,,17,IT Services,Information Technology,Company - Private,1 to 50 employees,NY
156,169.5,data scientist,other,3.6,0,,17,Advertising & Marketing,Business Services,Company - Private,501 to 1000 employees,NY
157,169.5,data scientist,other,-1.0,0,,-1,-1,-1,-1,-1,NY
158,169.5,data scientist,other,3.7,0,,12,Internet,Information Technology,Company - Private,501 to 1000 employees,NY
159,169.5,data scientist,other,-1.0,0,,-1,-1,-1,-1,-1,NY
160,169.5,data scientist,senior,3.9,0,,30,Banks & Credit Unions,Finance,Company - Public,10000+ employees,NY
161,169.5,data scientist,senior,4.2,0,,89,Consulting,Business Services,Company - Private,1001 to 5000 employees,NY
162,169.5,data scientist,other,1.9,0,,-1,Health Care Services & Hospitals,Health Care,Nonprofit Organization,201 to 500 employees,NY
163,169.5,data scientist,senior,3.5,0,,153,Insurance Agencies & Brokerages,Insurance,Subsidiary or Business Segment,10000+ employees,NY
164,205.0,analyst,other,3.8,0,,23,Advertising & Marketing,Business Services,Subsidiary or Business Segment,201 to 500 employees,NY
165,205.0,analyst,other,4.4,0,,9,Internet,Information Technology,Company - Private,51 to 200 employees,NY
166,205.0,analyst,other,5.0,0,,-1,Health Care Services & Hospitals,Health Care,Company - Private,1 to 50 employees,NY
167,205.0,analyst,other,3.4,0,,399,Municipal Governments,Government,Government,10000+ employees,NY
168,205.0,data scientist,other,3.1,0,,27,Health Care Services & Hospitals,Health Care,Nonprofit Organization,10000+ employees,NY
169,205.0,data scientist,senior,3.4,0,,153,Insurance Agencies & Brokerages,Insurance,Company - Public,10000+ employees,NY
170,205.0,analyst,other,3.5,0,,-1,-1,-1,Contract,1 to 50 employees,NY
171,205.0,data scientist,senior,-1.0,0,,-1,Real Estate,Real Estate,Company - Private,-1,NY
172,205.0,data scientist,senior,4.0,0,,57,Enterprise Software & Network Solutions,Information Technology,Company - Private,501 to 1000 employees,NY
173,205.0,data scientist,senior,3.4,0,,15,Internet,Information Technology,Company - Public,1001 to 5000 employees,NY
174,205.0,data scientist,other,-1.0,0,,-1,-1,-1,-1,-1,NY
175,205.0,data scientist,senior,3.6,0,,-1,Health Care Services & Hospitals,Health Care,Company - Public,5001 to 10000 employees,NY
176,205.0,machine learning engineer,other,3.0,0,,12,Computer Hardware & Software,Information Technology,Company - Public,201 to 500 employees,NY
177,205.0,data scientist,senior,5.0,0,,7,-1,-1,Company - Private,1 to 50 employees,NY
178,205.0,data scientist,senior,4.1,0,,7,Internet,Information Technology,Company - Private,1 to 50 employees,NY
179,205.0,analyst,other,-1.0,0,,-1,-1,-1,Company - Private,-1,NY
180,205.0,data scientist,senior,4.5,0,,12,Internet,Information Technology,Company - Private,51 to 200 employees,NY
181,205.0,data engineer,senior,4.2,0,,14,Internet,Information Technology,Company - Private,51 to 200 employees,NY
182,205.0,data scientist,other,-1.0,0,,-1,-1,-1,-1,-1,NY
183,205.0,data scientist,senior,5.0,0,,6,Other Retail Stores,Retail,Company - Private,51 to 200 employees,NY
184,205.0,data scientist,other,-1.0,0,,-1,-1,-1,-1,-1,NY
185,205.0,data scientist,other,-1.0,0,,-1,-1,-1,Company - Private,-1,NY
186,205.0,data scientist,senior,3.8,0,,18,Internet,Information Technology,Company - Public,1001 to 5000 employees,NY
187,205.0,data scientist,other,-1.0,0,,-1,-1,-1,-1,-1,NY
188,205.0,data scientist,other,-1.0,0,,-1,-1,-1,-1,-1,NY
189,205.0,data scientist,other,4.1,0,,183,Health Care Services & Hospitals,Health Care,Hospital,10000+ employees,NY
190,205.0,data scientist,other,3.6,0,,6,Internet,Information Technology,Company - Private,501 to 1000 employees,NY
191,205.0,data scientist,other,-1.0,0,,-1,-1,-1,-1,-1,NY
192,205.0,analyst,other,3.1,0,,11,Internet,Information Technology,Company - Private,201 to 500 employees,NY
193,205.0,data scientist,other,1.0,0,,-1,-1,-1,Company - Private,1 to 50 employees,NY
194,133.0,data scientist,senior,3.4,0,,7,Other Retail Stores,Retail,Company - Public,10000+ employees,NY
195,133.0,data scientist,senior,3.6,0,,29,Internet,Information Technology,Company - Public,10000+ employees,NY
196,133.0,data scientist,senior,4.6,0,,9,Food Production,Agriculture & Forestry,Company - Private,51 to 200 employees,NY
197,133.0,data scientist,senior,4.0,0,,14,Internet,Information Technology,Company - Private,51 to 200 employees,NY
198,133.0,other,other,4.7,0,,16,Staffing & Outsourcing,Business Services,Company - Private,201 to 500 employees,NY
199,133.0,data engineer,other,4.4,0,,12,Enterprise Software & Network Solutions,Information Technology,Company - Private,51 to 200 employees,NY
200,133.0,data scientist,other,4.0,0,,-1,"Health, Beauty, & Fitness",Consumer Services,Company - Private,51 to 200 employees,NY
201,133.0,analyst,other,3.6,0,,17,Advertising & Marketing,Business Services,Company - Private,501 to 1000 employees,NY
202,133.0,data scientist,senior,4.1,0,,26,Video Games,Media,Subsidiary or Business Segment,1001 to 5000 employees,NY
203,133.0,machine learning engineer,other,3.9,0,,-1,IT Services,Information Technology,Company - Private,1 to 50 employees,NY
204,133.0,data scientist,other,1.6,0,,-1,Advertising & Marketing,Business Services,Company - Public,1 to 50 employees,NY
205,133.0,data scientist,senior,3.5,0,,76,Insurance Carriers,Insurance,Company - Public,1001 to 5000 employees,NY
206,133.0,data scientist,senior,4.0,0,,111,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Company - Public,10000+ employees,NY
207,133.0,data scientist,other,4.0,0,,-1,Staffing & Outsourcing,Business Services,Company - Private,1 to 50 employees,NY
208,133.0,analyst,other,3.5,0,,17,Brokerage Services,Finance,Nonprofit Organization,1001 to 5000 employees,NY
209,133.0,data scientist,other,5.0,0,,-1,-1,-1,Company - Private,1 to 50 employees,NY
210,133.0,data scientist,senior,5.0,0,,6,Other Retail Stores,Retail,Company - Private,51 to 200 employees,NY
211,133.0,data scientist,senior,4.0,0,,12,Enterprise Software & Network Solutions,Information Technology,Company - Private,501 to 1000 employees,NY
212,133.0,data scientist,other,3.5,0,,56,Staffing & Outsourcing,Business Services,Company - Private,1 to 50 employees,NY
213,133.0,data engineer,other,3.4,0,,21,Internet,Information Technology,Company - Private,1001 to 5000 employees,NY
214,133.0,data scientist,senior,3.6,0,,35,Advertising & Marketing,Business Services,Company - Private,1001 to 5000 employees,NJ
215,133.0,other,other,3.2,0,,25,Advertising & Marketing,Business Services,Subsidiary or Business Segment,10000+ employees,NY
216,133.0,data engineer,other,4.7,0,,9,Internet,Information Technology,Company - Private,1 to 50 employees,NY
217,133.0,data scientist,other,-1.0,0,,-1,Commercial Equipment Rental,Business Services,Company - Public,1 to 50 employees,NJ
218,133.0,data scientist,senior,5.0,0,,10,Staffing & Outsourcing,Business Services,Company - Private,1 to 50 employees,NY
219,133.0,other,senior,3.9,0,,-1,-1,-1,Nonprofit Organization,1001 to 5000 employees,NY
220,133.0,data scientist,senior,4.2,0,,25,Staffing & Outsourcing,Business Services,Subsidiary or Business Segment,201 to 500 employees,NY
221,133.0,data engineer,other,3.7,0,,110,Insurance Carriers,Insurance,Company - Private,201 to 500 employees,NY
222,133.0,data scientist,senior,3.1,0,,31,Insurance Carriers,Insurance,Nonprofit Organization,1001 to 5000 employees,NY
223,133.0,data scientist,other,3.8,0,,131,Health Care Services & Hospitals,Health Care,Nonprofit Organization,10000+ employees,NY
224,134.0,other,other,3.9,0,,10,Investment Banking & Asset Management,Finance,Company - Private,1001 to 5000 employees,NY
225,134.0,researcher,other,-1.0,0,,-1,-1,-1,Company - Public,-1,NY
226,134.0,other,other,4.1,0,,183,Health Care Services & Hospitals,Health Care,Hospital,10000+ employees,NY
227,134.0,data scientist,senior,3.8,0,,8,Lending,Finance,Company - Private,201 to 500 employees,NY
228,134.0,machine learning engineer,other,3.8,0,,12,"Health, Beauty, & Fitness",Consumer Services,Company - Public,1001 to 5000 employees,NY
229,134.0,data scientist,senior,3.7,0,,120,Banks & Credit Unions,Finance,Company - Public,10000+ employees,NY
230,134.0,data scientist,other,4.4,0,,11,Research & Development,Business Services,Company - Private,501 to 1000 employees,NY
231,134.0,data scientist,senior,3.9,0,,30,Internet,Information Technology,Company - Public,10000+ employees,NY
232,134.0,data scientist,other,5.0,0,,8,Staffing & Outsourcing,Business Services,Company - Private,1 to 50 employees,NY
233,134.0,data scientist,other,3.9,0,,30,Internet,Information Technology,Company - Public,10000+ employees,NY
234,134.0,machine learning engineer,other,3.6,0,,19,Other Retail Stores,Retail,Company - Public,501 to 1000 employees,NY
235,134.0,researcher,other,4.2,0,,21,Staffing & Outsourcing,Business Services,Company - Private,51 to 200 employees,NY
236,134.0,data scientist,other,3.9,0,,225,Investment Banking & Asset Management,Finance,Company - Public,10000+ employees,NJ
237,134.0,data scientist,other,3.7,0,,113,IT Services,Information Technology,Company - Public,10000+ employees,NY
238,134.0,data scientist,senior,4.3,0,,23,IT Services,Information Technology,Company - Private,51 to 200 employees,NY
239,134.0,data scientist,other,3.5,0,,14,Lending,Finance,Company - Private,51 to 200 employees,NY
240,134.0,data scientist,other,4.0,0,,101,Motion Picture Production & Distribution,Media,Company - Public,10000+ employees,NY
241,134.0,machine learning engineer,other,3.0,0,,12,Computer Hardware & Software,Information Technology,Company - Public,201 to 500 employees,NY
242,152.0,data scientist,senior,3.1,0,,31,Insurance Carriers,Insurance,Nonprofit Organization,1001 to 5000 employees,NY
243,152.0,analyst,senior,4.0,0,,101,Motion Picture Production & Distribution,Media,Company - Public,10000+ employees,NY
244,152.0,researcher,other,5.0,0,,11,Staffing & Outsourcing,Business Services,Company - Private,1 to 50 employees,NY
245,152.0,analyst,other,3.5,0,,-1,Casual Restaurants,"Restaurants, Bars & Food Services",Company - Private,201 to 500 employees,NY
246,152.0,analyst,other,3.6,0,,-1,-1,-1,Company - Public,201 to 500 employees,NY
247,152.0,data scientist,senior,4.4,0,,14,Computer Hardware & Software,Information Technology,Company - Private,51 to 200 employees,NY
248,152.0,data scientist,senior,-1.0,0,,-1,Advertising & Marketing,Business Services,Company - Private,1 to 50 employees,NY
249,152.0,data scientist,other,2.6,0,,23,Advertising & Marketing,Business Services,Company - Private,201 to 500 employees,NJ
250,152.0,data scientist,senior,3.6,0,,63,Insurance Carriers,Insurance,Company - Public,10000+ employees,NJ
251,152.0,machine learning engineer,other,4.6,0,,-1,Social Assistance,Non-Profit,Nonprofit Organization,51 to 200 employees,NY
252,152.0,data scientist,senior,4.1,0,,14,Computer Hardware & Software,Information Technology,Company - Public,1001 to 5000 employees,NY
253,152.0,data engineer,other,-1.0,0,,-1,-1,-1,Company - Private,1 to 50 employees,NY
254,152.0,data scientist,senior,3.3,0,,29,Staffing & Outsourcing,Business Services,Company - Private,201 to 500 employees,NY
255,124.5,machine learning engineer,other,3.5,0,,36,Computer Hardware & Software,Information Technology,Subsidiary or Business Segment,1001 to 5000 employees,NY
256,124.5,data scientist,other,-1.0,0,,-1,-1,-1,-1,-1,NY
257,124.5,data engineer,other,4.1,0,,218,Consumer Products Manufacturing,Manufacturing,Company - Public,10000+ employees,NY
258,124.5,data scientist,senior,3.2,0,,171,Insurance Carriers,Insurance,Company - Private,10000+ employees,NY
259,124.5,analyst,other,4.0,0,,-1,Advertising & Marketing,Business Services,Company - Private,1 to 50 employees,NY
